IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.246.112,8443,true,SJC,North America,San Jose,188 ms,10671 kB/s
152.70.117.136,443,true,SJC,North America,San Jose,192 ms,9768 kB/s
34.91.239.5,443,true,FRA,Europe,Frankfurt,243 ms,6600 kB/s
152.67.233.64,443,true,SJC,North America,San Jose,175 ms,6482 kB/s
150.230.122.76,443,true,LHR,Europe,London,245 ms,6379 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,315 ms,6367 kB/s
84.8.148.235,8443,true,LHR,Europe,London,244 ms,6300 kB/s
144.21.51.110,443,true,LHR,Europe,London,241 ms,6211 kB/s
204.216.105.106,8443,true,YYZ,North America,Toronto,243 ms,6159 kB/s
34.154.41.67,443,true,FRA,Europe,Frankfurt,244 ms,5926 kB/s
141.147.115.145,443,true,FRA,Europe,Frankfurt,262 ms,5749 kB/s
138.2.36.157,8443,true,KIX,Asia Pacific,Osaka,224 ms,5489 kB/s
132.145.54.84,8443,true,LHR,Europe,London,246 ms,4780 kB/s
193.123.81.105,443,true,DXB,Middle East,Dubai,179 ms,4552 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,259 ms,4515 kB/s
132.145.54.84,2053,true,LHR,Europe,London,250 ms,4412 kB/s
130.162.140.215,443,true,NRT,Asia Pacific,Tokyo,68 ms,4341 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,278 ms,4325 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,178 ms,4322 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,240 ms,4113 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,297 ms,3913 kB/s
143.47.243.144,8443,true,LHR,Europe,London,247 ms,3884 kB/s
129.153.119.97,443,true,LAX,North America,Los Angeles,251 ms,3620 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,254 ms,3583 kB/s
143.47.243.144,2053,true,LHR,Europe,London,250 ms,3382 kB/s
129.153.213.8,443,true,LAX,North America,Los Angeles,257 ms,3205 kB/s
152.70.148.46,2053,true,LAX,North America,Los Angeles,261 ms,2729 kB/s
34.89.241.178,443,true,FRA,Europe,Frankfurt,242 ms,2681 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,201 ms,2483 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,252 ms,2172 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,246 ms,2137 kB/s
158.180.25.74,443,true,FRA,Europe,Frankfurt,259 ms,2047 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,268 ms,1983 kB/s
158.180.12.93,443,true,FRA,Europe,Frankfurt,250 ms,1849 kB/s
144.24.240.193,8443,true,MXP,Europe,Milan,277 ms,1779 kB/s
34.154.79.65,443,true,FRA,Europe,Frankfurt,237 ms,1736 kB/s
